pair_id,wiki_a,title_a,url_a,wiki_b,title_b,url_b,same_subject,note
p001,enwiki,Matteo Politano,https://en.wikipedia.org/wiki/Matteo_Politano,itwiki,Matteo Politano,https://it.wikipedia.org/wiki/Matteo_Politano,,
p002,plwiki,Valtteri Bottas,https://pl.wikipedia.org/wiki/Valtteri_Bottas,ptwiki,Valtteri Bottas,https://pt.wikipedia.org/wiki/Valtteri_Bottas,,
p003,enwiki,Spain women's national basketball team,https://en.wikipedia.org/wiki/Spain_women%27s_national_basketball_team,frwiki,Équipe d'Espagne féminine de basket-ball,https://fr.wikipedia.org/wiki/%C3%89quipe_d%27Espagne_f%C3%A9minine_de_basket-ball,,
p004,eswiki,Campeonato Sudamericano de Voleibol Femenino de 2026,https://es.wikipedia.org/wiki/Campeonato_Sudamericano_de_Voleibol_Femenino_de_2026,plwiki,Mistrzostwa Ameryki Południowej w Piłce Siatkowej Kobiet 2026,https://pl.wikipedia.org/wiki/Mistrzostwa_Ameryki_Po%C5%82udniowej_w_Pi%C5%82ce_Siatkowej_Kobiet_2026,,
p005,enwiki,La ragazza di via Millelire,https://en.wikipedia.org/wiki/La_ragazza_di_via_Millelire,itwiki,La ragazza di via Millelire,https://it.wikipedia.org/wiki/La_ragazza_di_via_Millelire,,
p006,enwiki,Felix Gall,https://en.wikipedia.org/wiki/Felix_Gall,eswiki,Felix Gall,https://es.wikipedia.org/wiki/Felix_Gall,,
p007,enwiki,Lamine Yamal,https://en.wikipedia.org/wiki/Lamine_Yamal,eswiki,Lamine Yamal,https://es.wikipedia.org/wiki/Lamine_Yamal,,
p008,enwiki,Bryan Mbeumo,https://en.wikipedia.org/wiki/Bryan_Mbeumo,frwiki,Bryan Mbeumo,https://fr.wikipedia.org/wiki/Bryan_Mbeumo,,
p009,dewiki,Formel-1-Weltmeisterschaft 2026,https://de.wikipedia.org/wiki/Formel-1-Weltmeisterschaft_2026,eswiki,Temporada 2026 de Fórmula 1,https://es.wikipedia.org/wiki/Temporada_2026_de_F%C3%B3rmula_1,,
p010,enwiki,2026 Women's South American Volleyball Championship,https://en.wikipedia.org/wiki/2026_Women%27s_South_American_Volleyball_Championship,plwiki,Mistrzostwa Ameryki Południowej w Piłce Siatkowej Kobiet 2026,https://pl.wikipedia.org/wiki/Mistrzostwa_Ameryki_Po%C5%82udniowej_w_Pi%C5%82ce_Siatkowej_Kobiet_2026,,
p011,enwiki,Jakob Omrzel,https://en.wikipedia.org/wiki/Jakob_Omrzel,itwiki,Jakob Omrzel,https://it.wikipedia.org/wiki/Jakob_Omrzel,,
p012,eswiki,Trofeo Matteotti,https://es.wikipedia.org/wiki/Trofeo_Matteotti,itwiki,Trofeo Matteotti,https://it.wikipedia.org/wiki/Trofeo_Matteotti,,
p013,enwiki,Rumesh Tharanga,https://en.wikipedia.org/wiki/Rumesh_Tharanga,eswiki,Rumesh Tharanga,https://es.wikipedia.org/wiki/Rumesh_Tharanga,,
p014,enwiki,2026–27 UEFA Europa League league phase,https://en.wikipedia.org/wiki/2026%E2%80%9327_UEFA_Europa_League_league_phase,jawiki,UEFAヨーロッパリーグ 2026-27 リーグフェーズ,https://ja.wikipedia.org/wiki/UEFA%E3%83%A8%E3%83%BC%E3%83%AD%E3%83%83%E3%83%91%E3%83%AA%E3%83%BC%E3%82%B0_2026-27_%E3%83%AA%E3%83%BC%E3%82%B0%E3%83%95%E3%82%A7%E3%83%BC%E3%82%BA,,
p015,dewiki,Jonas Urbig,https://de.wikipedia.org/wiki/Jonas_Urbig,enwiki,Jonas Urbig,https://en.wikipedia.org/wiki/Jonas_Urbig,,
p016,enwiki,Sepp Kuss,https://en.wikipedia.org/wiki/Sepp_Kuss,nlwiki,Sepp Kuss,https://nl.wikipedia.org/wiki/Sepp_Kuss,,
p017,eswiki,Raúl García Pierna,https://es.wikipedia.org/wiki/Ra%C3%BAl_Garc%C3%ADa_Pierna,nlwiki,Raúl García Pierna,https://nl.wikipedia.org/wiki/Ra%C3%BAl_Garc%C3%ADa_Pierna,,
p018,dewiki,Michael Olise,https://de.wikipedia.org/wiki/Michael_Olise,ptwiki,Michael Olise,https://pt.wikipedia.org/wiki/Michael_Olise,,
p019,enwiki,Madring,https://en.wikipedia.org/wiki/Madring,ptwiki,Circuito de Madring,https://pt.wikipedia.org/wiki/Circuito_de_Madring,,
p020,dewiki,Flagge Russlands,https://de.wikipedia.org/wiki/Flagge_Russlands,ruwiki,Флаг России,https://ru.wikipedia.org/wiki/%D0%A4%D0%BB%D0%B0%D0%B3_%D0%A0%D0%BE%D1%81%D1%81%D0%B8%D0%B8,,
