pair_id,stratum
p001,both
p002,both
p003,wikidata_only
p004,wikidata_only
p005,wikidata_only
p006,both
p007,both
p008,wikidata_only
p009,wikidata_only
p010,wikidata_only
p011,both
p012,both
p013,naive_only
p014,wikidata_only
p015,both
p016,both
p017,both
p018,both
p019,wikidata_only
p020,wikidata_only
p021,both
p022,both
p023,both
p024,wikidata_only
p025,naive_only
p026,wikidata_only
p027,wikidata_only
p028,wikidata_only
p029,both
p030,wikidata_only
p031,wikidata_only
p032,both
p033,wikidata_only
p034,both
p035,wikidata_only
p036,naive_only
p037,wikidata_only
p038,wikidata_only
p039,wikidata_only
p040,naive_only
p041,wikidata_only
p042,both
p043,both
p044,wikidata_only
p045,wikidata_only
p046,wikidata_only
p047,wikidata_only
p048,both
p049,both
p050,wikidata_only
p051,both
p052,wikidata_only
p053,wikidata_only
p054,wikidata_only
p055,wikidata_only
p056,wikidata_only
p057,both
p058,both
p059,wikidata_only
p060,naive_only
p061,both
p062,both
p063,both
p064,both
p065,both
p066,both
p067,wikidata_only
p068,wikidata_only
p069,both
p070,wikidata_only
p071,both
p072,wikidata_only
p073,both
p074,both
p075,wikidata_only
p076,both
p077,wikidata_only
p078,both
p079,both
p080,both
p081,wikidata_only
p082,both
p083,both
p084,wikidata_only
p085,wikidata_only
p086,wikidata_only
p087,wikidata_only
p088,both
p089,wikidata_only
p090,wikidata_only
p091,both
p092,wikidata_only
p093,wikidata_only
p094,both
p095,wikidata_only
p096,wikidata_only
p097,both
p098,wikidata_only
p099,both
p100,both
p101,wikidata_only
p102,both
p103,both
p104,both
p105,both
p106,both
p107,wikidata_only
p108,both
p109,both
p110,wikidata_only
p111,both
p112,naive_only
p113,both
p114,wikidata_only
p115,wikidata_only
p116,both
p117,wikidata_only
p118,wikidata_only
p119,wikidata_only
p120,naive_only
p121,wikidata_only
p122,wikidata_only
p123,both
p124,wikidata_only
p125,both
p126,both
p127,both
p128,both
p129,both
p130,wikidata_only
p131,wikidata_only
p132,wikidata_only
p133,both
p134,wikidata_only
p135,both
p136,wikidata_only
p137,wikidata_only
p138,both
p139,wikidata_only
p140,both
p141,both
p142,wikidata_only
p143,wikidata_only
p144,wikidata_only
p145,wikidata_only
p146,both
p147,both
p148,wikidata_only
p149,wikidata_only
p150,wikidata_only
p151,both
p152,naive_only
p153,naive_only
p154,both
p155,wikidata_only
p156,wikidata_only
p157,both
p158,both
p159,wikidata_only
p160,both
p161,both
p162,wikidata_only
p163,both
p164,wikidata_only
p165,wikidata_only
p166,both
p167,wikidata_only
p168,both
p169,both
p170,wikidata_only
p171,wikidata_only
p172,both
p173,both
p174,both
p175,both
p176,wikidata_only
p177,naive_only
p178,both
p179,wikidata_only
p180,both
p181,wikidata_only
p182,wikidata_only
p183,both
p184,both
p185,both
p186,both
p187,both
p188,naive_only
p189,both
p190,wikidata_only
p191,wikidata_only
p192,both
p193,both
p194,wikidata_only
p195,both
p196,wikidata_only
p197,naive_only
p198,wikidata_only
p199,both
p200,wikidata_only
